total extension (nm),DNA extension (nm),average force (pN),sd force (pN),average bp unzipped,sd bp unzipped
2243,2052.87,14.0807,0.132391,1430.49,5.51924
2244,2053.58,14.1023,0.128826,1430.66,5.36363
2245,2054.29,14.1241,0.12585,1430.83,5.23241
2246,2054.99,14.1461,0.123383,1431,5.12229
2247,2055.69,14.1682,0.121358,1431.15,5.0304
2248,2056.39,14.1905,0.119714,1431.3,4.95426
2249,2057.09,14.2128,0.118399,1431.45,4.89169
2250,2057.79,14.2352,0.117369,1431.59,4.84086
2251,2058.49,14.2576,0.116587,1431.73,4.80017
2252,2059.18,14.2801,0.116018,1431.87,4.76827
2253,2059.88,14.3026,0.115635,1432.01,4.74399
2254,2060.57,14.3251,0.115414,1432.14,4.72634
2255,2061.27,14.3477,0.115335,1432.27,4.71447
2256,2061.97,14.3702,0.11538,1432.41,4.70763
2257,2062.66,14.3927,0.115533,1432.54,4.70518
2258,2063.36,14.4153,0.115781,1432.67,4.70657
2259,2064.05,14.4378,0.116112,1432.81,4.7113
2260,2064.75,14.4603,0.116516,1432.94,4.71894
2261,2065.45,14.4827,0.116983,1433.07,4.7291
2262,2066.14,14.5051,0.117505,1433.21,4.74143
2263,2066.84,14.5275,0.118074,1433.34,4.75562
2264,2067.54,14.5499,0.118684,1433.48,4.7714
2265,2068.24,14.5722,0.119328,1433.62,4.7885
2266,2068.94,14.5945,0.12,1433.75,4.8067
2267,2069.64,14.6168,0.120696,1433.89,4.8258
2268,2070.34,14.639,0.12141,1434.03,4.84562
2269,2071.04,14.6612,0.122139,1434.17,4.86601
2270,2071.74,14.6833,0.12288,1434.31,4.88686
2271,2072.44,14.7054,0.123631,1434.46,4.90808
2272,2073.14,14.7274,0.124388,1434.6,4.92963
2273,2073.85,14.7494,0.125153,1434.75,4.95152
2274,2074.55,14.7714,0.125926,1434.89,4.97383
2275,2075.25,14.7933,0.12671,1435.04,4.9967
2276,2075.96,14.8151,0.127509,1435.19,5.02036
2277,2076.66,14.8369,0.12833,1435.34,5.04517
2278,2077.37,14.8587,0.129184,1435.49,5.07162
2279,2078.08,14.8804,0.130085,1435.65,5.10036
2280,2078.78,14.902,0.131052,1435.8,5.13229
2281,2079.47,14.9252,0.132203,1435.97,5.17246
2282,2080.16,14.9483,0.133509,1436.15,5.21986
2283,2080.85,14.9714,0.135028,1436.33,5.27702
2284,2081.54,14.9943,0.136834,1436.51,5.3472
2285,2082.23,15.017,0.13902,1436.7,5.43447
2286,2082.93,15.0396,0.141705,1436.89,5.54387
2287,2083.62,15.062,0.145033,1437.09,5.68149
2288,2084.33,15.0841,0.149177,1437.3,5.85454
2289,2085.03,15.1059,0.154339,1437.53,6.07136
2290,2085.74,15.1272,0.160754,1437.77,6.3413
